Name,degree
Bin281,775
Bin247,774
Bin272,729
Bin267,717
Bin607,717
Bin35,695
Bin246,685
Bin612,667
Bin613,666
Bin602,659
Bin583,657
Bin282,643
Bin608,638
Bin32,633
Bin280,626
Bin284,626
Bin33,623
Bin34,620
Bin249,620
Bin265,620
Bin250,614
Bin257,606
Bin268,600
Bin559,599
Bin617,595
Bin251,594
Bin65,593
Bin468,593
Bin581,588
Bin256,587
Bin266,587
Bin232,585
Bin616,583
Bin558,581
Bin245,569
Bin609,567
Bin603,565
Bin314,562
Bin520,562
Bin288,559
Bin469,557
Bin582,557
Bin610,557
Bin381,553
Bin270,546
Bin601,539
Bin615,539
Bin544,537
Bin625,537
Bin286,535
Bin553,531
Bin380,530
Bin289,528
Bin379,528
Bin522,528
Bin269,522
Bin8,521
Bin9,521
Bin254,519
Bin324,519
Bin482,518
Bin12,517
Bin664,514
Bin253,513
Bin64,512
Bin561,512
Bin241,509
Bin271,509
Bin248,506
Bin527,503
Bin261,500
Bin262,500
Bin623,500
Bin562,499
Bin323,497
Bin532,497
Bin614,496
Bin252,492
Bin622,490
Bin63,488
Bin331,488
Bin66,486
Bin3,484
Bin4,480
Bin660,477
Bin36,476
Bin467,476
Bin619,476
Bin233,475
Bin483,475
Bin240,474
Bin584,473
Bin5,471
Bin59,470
Bin283,469
Bin11,468
Bin290,467
Bin447,466
Bin574,465
Bin618,464
Bin666,462
Bin62,461
Bin448,461
Bin551,461
Bin239,460
Bin611,459
Bin661,459
Bin244,457
Bin531,457
Bin10,455
Bin548,455
Bin621,455
Bin449,450
Bin466,445
Bin604,445
Bin14,444
Bin567,444
Bin560,441
Bin493,440
Bin348,438
Bin523,438
Bin131,437
Bin139,437
Bin382,436
Bin461,435
Bin624,434
Bin287,431
Bin526,431
Bin552,430
Bin162,429
Bin140,428
Bin665,428
Bin31,426
Bin127,426
Bin470,426
Bin138,425
Bin655,425
Bin329,423
Bin524,423
Bin378,422
Bin606,422
Bin260,421
Bin525,420
Bin620,420
Bin279,419
Bin663,417
Bin477,416
Bin163,415
Bin344,414
Bin476,414
Bin591,414
Bin15,413
Bin345,413
Bin478,411
Bin446,409
Bin471,409
Bin7,408
Bin359,408
Bin592,408
Bin521,406
Bin550,405
Bin605,405
