genelist,community
DDX11L8,Module382
ABC7-42389800N19.1,Module382
RP11-598F7.1,Module382
IQSEC3,Module382
RP11-598F7.3,Module382
RP11-598F7.4,Module382
RP11-598F7.5,Module382
RP11-598F7.6,Module382
SLC6A12,Module382
RP11-283I3.1,Module382
RP11-283I3.2,Module382
SLC6A13,Module382
RP11-283I3.4,Module382
RP11-283I3.6,Module382
KDM5A,Module382
CCDC77,Module382
PARP11,Module382
HIN1L,Module382
RP11-664D1.1,Module382
CD163L1,Module382
RP11-157G21.2,Module382
CD163,Module382
RP11-157G21.1,Module382
RF00019,Module382
SLC2A14,Module382
RF00017,Module382
RP11-277J24.1,Module382
RP11-815D16.1,Module382
NANOGP1,Module382
RP11-277E18.2,Module382
SLC2A3,Module382
RP11-69M1.1,Module382
AICDA,Module382
RP11-438L7.1,Module382
RP11-438L7.3,Module382
MFAP5,Module382
RP11-20D14.3,Module382
RP11-20D14.4,Module382
RIMKLB,Module382
RP11-20D14.1,Module382
RP11-20D14.7,Module382
RP11-20D14.6,Module382
KLRC4-KLRK1,Module382
KLRC4,Module382
KLRC3,Module382
RP11-277P12.6,Module382
KLRC2,Module382
KLRC1,Module382
EIF2S3L,Module382
RP11-705C15.6,Module382
RP11-291B21.2,Module382
RP11-904M10.1,Module382
PRB2,Module382
RP11-711K1.7,Module382
RP11-407P10.1,Module382
RP11-434C1.4,Module382
RP11-434C1.5,Module382
RP11-434C1.3,Module382
RP11-434C1.6,Module382
RP11-434C1.2,Module382
RNU7-60P,Module382
RP11-434C1.1,Module382
RP11-134N1.2,Module382
RP11-134N1.1,Module382
RNU6-491P,Module382
RP11-134N1.3,Module382
RP11-515B12.1,Module382
ATF7IP,Module382
RP11-695J4.2,Module382
GUCY2C,Module382
RP11-174G6.1,Module382
RP11-174G6.5,Module382
HIST4H4,Module382
H2AFJ,Module382
WBP11,Module382
RERGL,Module382
PIK3C2G,Module382
RP11-459D22.2,Module382
AEBP2,Module382
RP11-841C19.3,Module382
RP11-841C19.4,Module382
RNU6-254P,Module382
RP11-841C19.6,Module382
RP11-841C19.1,Module382
SLCO1A2,Module382
PYROXD1,Module382
RP11-501E24.3,Module382
RECQL,Module382
GOLT1B,Module382
SPX,Module382
GYS2,Module382
RP11-547L9.1,Module382
CMAS,Module382
ST8SIA1,Module382
RP11-49G2.3,Module382
RP11-49G2.4,Module382
RNU1-149P,Module382
RP11-268P4.5,Module382
RP11-268P4.4,Module382
ETNK1,Module382
RP11-268P4.6,Module382
RP11-114G22.1,Module382
RP11-268P4.1,Module382
RP11-449P1.1,Module382
SOX5,Module382
C12orf77,Module382
LRMP,Module382
RP11-713N11.3,Module382
RP11-713N11.4,Module382
RP11-713N11.6,Module382
CASC1,Module382
LYRM5,Module382
CCDC91,Module382
RP11-967K21.1,Module382
RP11-967K21.2,Module382
RP11-425D17.1,Module382
RP11-551L14.4,Module382
RP11-551L14.8,Module382
RP11-551L14.5,Module382
DDX11,Module382
RF00072,Module382
RP11-551L14.7,Module382
OVOS2,Module382
RNU6-1069P,Module382
RF00402,Module382
RP11-428G5.4,Module382
RP11-428G5.5,Module382
RP11-428G5.6,Module382
